Date,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,rendimiento_kgxha
9/1/1984,25.0917049180328,13.6012049180328,1.27212902259344,0.602792935605802,22.7585133209508,2300
9/1/1985,26.4008442622951,12.9721639344438,1.45755319122295,0.563148275097963,23.1144256929836,2513
9/1/1986,27.9634590163934,13.0778524590164,0.812158932909836,0.478809867112707,23.9447482413934,2400
9/1/1987,28.8327786885246,13.6630409836066,0.709572320867213,0.440272340108288,23.308519451459,2418
9/1/1988,27.9404672131147,13.9230573770492,2.47804256120164,0.540567466925619,22.9711368872951,1913
9/1/1989,25.5710409836066,12.7650819672131,1.56784809688525,0.616394073507291,21.4998681758584,2603
9/1/1990,27.9963442622951,13.7946147540984,1.13124004428689,0.566835713582697,21.5588040934426,2419
9/1/1991,27.2405901639344,13.860131147541,0.965248600101639,0.561408282300658,23.383825594082,2503
9/1/1992,26.6807049180328,12.7715081967213,1.22755426641148,0.548262315262316,22.6675578417049,2282
9/1/1993,29.5263606557377,12.8771967213115,0.508287938134426,0.401955377934308,25.604261922836,2002
9/1/1994,28.6247950819672,13.5727704918033,0.87096907555082,0.47287867261961,23.622905196,2233
9/1/1995,26.9602727272727,13.3540909090909,2.00496178172231,0.580922417515494,23.8231686366446,2550
9/1/1996,25.842262295082,13.1130491803279,1.06523032308197,0.616774647006835,21.9367549562459,1593
9/1/1997,26.4529754098361,12.5450491803279,1.07620815856721,0.536007166551244,23.9758800782459,3366
9/1/1998,25.1475655737705,12.3513114754098,0.653621011495082,0.626195478310736,24.5148372255246,3333
9/1/1999,29.8017131147541,14.3201885245902,0.516564346470492,0.428006049211807,24.0426085103115,2483
9/1/2000,29.8452213114754,13.4590655737705,0.573905480990164,0.37992615466696,26.5689642959275,3055
9/1/2001,29.7637213114754,13.9615245901639,0.945851389937705,0.430972744890382,24.3620165450656,2970
9/1/2002,27.4971147540984,13.0956147541099,1.28432077663279,0.499537163191417,22.6370331658033,3404
9/1/2003,27.9378934426229,12.487631147541,0.464171570616393,0.478435350005705,23.8202385683607,3272
9/1/2004,28.3021393442623,13.2502540983607,0.507818956072131,0.471825436810275,24.4840760178197,3397
9/1/2005,25.235762295082,12.1333606557377,0.9096895053,0.606427906973547,24.0743312089672,3603
9/1/2006,23.9751393442623,12.7107213114754,1.66968072500164,0.697636415291069,24.8799717061967,3536
9/1/2007,25.9240491803279,13.3419344262295,1.05231228726393,0.662597341402325,23.5247712778033,3701
9/1/2008,27.5154180327869,12.495631147541,1.1265203482082,0.513546530167685,24.8152062290164,2122
9/1/2009,26.9213278688525,13.0320081967213,1.41850094246557,0.546103739854195,24.1669795988361,3873
9/1/2010,27.6209098360656,12.0964426229508,0.376463381901639,0.480698439961339,25.6185408561639,3794
9/1/2011,28.7751475409836,13.6666803278689,0.742525386639344,0.478943955347148,25.932794833918,3363
9/1/2012,26.8732868852459,13.1329344262295,0.774936419813115,0.586644118390245,25.7950964391639,3710
9/1/2013,29.3982049180328,13.7986721311475,0.320866144884426,0.435524784239505,23.7539283531639,4010
9/1/2014,25.8408934426229,12.0236557377049,0.772889048554098,0.574985613354355,24.0873183210984,4569
9/1/2015,27.1811065573771,12.2936475409836,0.725098888977049,0.52025912949006,25.0963890668852,4081
9/1/2016,27.6997459016393,12.365868852459,0.355184542563934,0.490368366377355,25.7475268804796,4020
9/1/2017,24.3407213114754,12.5519508196721,2.23538317241803,0.722326809170853,24.4206206425727,3063
9/1/2018,28.5302295081967,13.5499098360656,0.92117227057541,0.49846206861865,21.1198588117646,4297
9/1/2019,23.9370849056604,11.4557688679245,0.590763705138679,0.62707443936853,17.0758872239523,3756
